old_name,new_name
00.00-Preface.ipynb,00-00-Preface.ipynb
01.00-Understanding-an-astronomical-CCD-image.ipynb,01-00-Understanding-an-astronomical-CCD-image.ipynb
01.03-Construction-of-an-artificial-(but-realistic)-image.ipynb,01-03-Construction-of-an-artificial-but-realistic-image.ipynb
01.04-Nonuniform-sensitivity.ipynb,01-04-Nonuniform-sensitivity.ipynb
01.05-Calibration-overview.ipynb,01-05-Calibration-overview.ipynb
01.06-Image-combination.ipynb,01-06-Image-combination.ipynb
01.08-Overscan.ipynb,01-08-Overscan.ipynb
01.09-Calibration-choices-you-need-to-make.ipynb,01-09-Calibration-choices-you-need-to-make.ipynb
01.11-reading-images.ipynb,01-11-reading-images.ipynb
"02.00-Handling-overscan,-trimming,-and-bias-subtraction.ipynb",02-00-Handling-overscan-trimming-and-bias-subtraction.ipynb
02.01-Calibrating-bias-images.ipynb,02-01-Calibrating-bias-images.ipynb
02.04-Combine-bias-images-to-make-master.ipynb,02-04-Combine-bias-images-to-make-master.ipynb
03.00-Dark-current-and-hot-pixels.ipynb,03-00-Dark-current-and-hot-pixels.ipynb
03.01-Dark-current-The-ideal-case.ipynb,03-01-Dark-current-The-ideal-case.ipynb
03.02-Real-dark-current-noise-and-other-artifacts.ipynb,03-02-Real-dark-current-noise-and-other-artifacts.ipynb
03.03-Identifying-hot-pixels.ipynb,03-03-Identifying-hot-pixels.ipynb
03.04-Handling-overscan-and-bias-for-dark-frames.ipynb,03-04-Handling-overscan-and-bias-for-dark-frames.ipynb
03.05-Calibrate-dark-images.ipynb,03-05-Calibrate-dark-images.ipynb
03.06-Combine-darks-for-use-in-later-calibration-steps.ipynb,03-06-Combine-darks-for-use-in-later-calibration-steps.ipynb
04.00-Interlude:-Image-masking.ipynb,04-00-Interlude:-Image-masking.ipynb
04.01-Identifying-bad-pixels.ipynb,04-01-Identifying-bad-pixels.ipynb
04.02-Creating-a-mask.ipynb,04-02-Creating-a-mask.ipynb
04.03-incorporating-the-mask-in-reduction.ipynb,04-03-incorporating-the-mask-in-reduction.ipynb
05.00-Flat-corrections.ipynb,05-00-Flat-corrections.ipynb
05.01-There-are-no-perfect-flats.ipynb,05-01-There-are-no-perfect-flats.ipynb
05.02-Make-a-choice-about-next-steps-for-flats.ipynb,05-02-Make-a-choice-about-next-steps-for-flats.ipynb
05.03-Calibrating-the-flats.ipynb,05-03-Calibrating-the-flats.ipynb
05.04-Combining-flats.ipynb,05-04-Combining-flats.ipynb
06.00-Reducing-science-images.ipynb,06-00-Reducing-science-images.ipynb
06.01-Initial-reduction.ipynb,06-01-Initial-reduction.ipynb
06.02-Cosmic-ray-removal.ipynb,06-02-Cosmic-ray-removal.ipynb
06.03-incorporating-masks-into-calibrated-science-images.ipynb,06-03-incorporating-masks-into-calibrated-science-images.ipynb
07.00-Combining-images.ipynb,07-00-Combining-images.ipynb
07.01-Creating-a-sky-flat.ipynb,07-01-Creating-a-sky-flat.ipynb
07.02-Combination-with-alignment-via-WCS.ipynb,07-02-Combination-with-alignment-via-WCS.ipynb
07.03-Combination-with-alignment-based-on-star-positions-in-the-image.ipynb,07-03-Combination-with-alignment-based-on-star-positions-in-the-image.ipynb
03-03-Identifying-hot-pixels.ipynb,08-01-Identifying-hot-pixels.ipynb
04-02-Creating-a-mask.ipynb,08-02-Creating-a-mask.ipynb
06-03-incorporating-masks-into-calibrated-science-images.ipynb,08-03-incorporating-masks-into-calibrated-science-images.ipynb
08-03-incorporating-masks-into-calibrated-science-images.ipynb,08-05-incorporating-masks-into-calibrated-science-images.ipynb
08-00-Interlude-Image-masking.ipynb,08-00-Image-masking.ipynb
06-02-Cosmic-ray-removal.ipynb,08-03-Cosmic-ray-removal.ipynb
